Report Origin = (0.000, 0.000)
Units used = "mm"
"RefDes","PatternName","Type","Value","Layer","LocationX","LocationY","Rotation"
"C3","0805","C0805","0.1","Top","75.773","21.114","180.0"
"C4","0805","C0805","0.1","Top","73.065","2.805","0.0"
"DA1","SM-6","MOC30XXSM","MOC3023","Top","22.146","17.268","0.0"
"DA9","DIP4","TLP521","1010","Top","8.775","48.635","180.0"
"DD1","SO8","PIC12F1840","Value","Top","9.044","11.378","180.0"
"R3","R1206_","R1206","1M","Top","67.986","24.693","90.0"
"R9","0805","R0805","200","Top","15.948","12.155","270.0"
"R21","0805","R0805","100K","Top","16.848","48.022","90.0"
"R25","0805","R0805","50K","Top","9.331","32.157","0.0"
"R26","0805","R0805","0","Top","11.745","17.102","270.0"
"VD1","DB-1S","DB107S","Value","Top","73.048","7.555","270.0"
"VD9","DB-1S","DB107S","Value","Top","18.119","40.957","180.0"
"VS1","SOD80_S","BZV55C","5V1","Top","8.640","24.273","180.0"
